key,product_code,description,step_name,machine,start_time,end_time,duration_min,machine_group,machine_prefix,machine_num,log_duration
UrU3046fO5LrM6bh9WkgN4,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Load,MX-4,6/6/2024 11:30:00,6/6/2024 12:50:00,80.0,MX,MX,4,4.394449154672439
2cMCbJNbsU05Ho0bo1MJCo,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Transfer of Millbase,MX-4,6/6/2024 13:00:00,6/6/2024 13:40:00,40.0,MX,MX,4,3.713572066704308
exOFBD8CI7BRCUroqsOjRA,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Letdown,MX-4,6/6/2024 13:45:00,6/6/2024 15:00:00,75.0,MX,MX,4,4.330733340286331
Px7qUNmlAWvxCWxhpxkmjc,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Load,PMX-4,6/7/2024 11:55:00,6/7/2024 12:15:00,20.0,PMX,PMX,4,3.044522437723423
H8JLIDVcI9WsmKyz7qpDY6,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Load,PMX-4,6/7/2024 12:15:00,6/7/2024 12:30:00,15.0,PMX,PMX,4,2.772588722239781
lFKNHovxl4vE4ARnWAtHIq,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grind (Part B),PMX-4,6/7/2024 12:30:00,6/7/2024 14:35:00,125.0,PMX,PMX,4,4.836281906951478
sIXcZWqPb6CbL5ZZifO6p6,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,SAP Posting - Std,PMX-4,6/15/2024 9:57:00,6/15/2024 9:57:00,0.0,PMX,PMX,4,0.0
6DKx6hekQhYvC2msIOCPqF,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Load,MX-3,6/10/2024 7:40:00,6/10/2024 9:10:00,90.0,MX,MX,3,4.51085950651685
TffDJB9FYwgOMbWUpmuliN,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Transfer of Millbase,MX-3,6/11/2024 7:45:00,6/11/2024 8:50:00,65.0,MX,MX,3,4.189654742026425
QYN1mcSTAaYRJCZIH4kYbO,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Letdown,MX-3,6/11/2024 8:50:00,6/11/2024 9:20:00,30.0,MX,MX,3,3.4339872044851463
